Time,Temp,DHT,TMP,Humidity
10013,24.20,24.00,24.39,16.00
20027,24.44,24.00,24.88,16.00
30041,23.81,23.00,24.63,16.00
40053,23.81,23.00,24.62,16.00
50064,23.76,23.00,24.52,16.00
60078,23.89,23.00,24.79,16.00
70089,23.76,23.00,24.52,16.00
80103,24.06,23.00,25.12,16.00
90116,24.00,23.00,25.00,16.00
100130,24.05,23.00,25.09,16.00
110154,23.82,23.00,24.63,16.00
120181,24.14,23.00,25.28,16.00
130206,24.14,23.00,25.29,16.00
140229,24.24,23.00,25.47,16.00
150255,24.13,23.00,25.26,16.00
160278,24.30,23.00,25.60,16.00
170300,24.85,24.00,25.70,16.00
180326,24.82,24.00,25.65,16.00
190349,24.90,24.00,25.81,16.00
200378,24.64,24.00,25.28,16.00
210402,24.83,24.00,25.65,16.00
220426,24.90,24.00,25.81,16.00
230448,25.02,24.00,26.04,16.00
240472,24.83,24.00,25.67,16.00
260525,25.22,24.00,26.45,16.00
270552,25.61,25.00,26.22,15.00
280579,25.65,25.00,26.30,15.00
290606,25.73,25.00,26.47,15.00
300627,25.83,25.00,26.67,15.00
310649,25.72,25.00,26.44,15.00
320675,25.85,25.00,26.69,15.00
330701,25.71,25.00,26.41,15.00
340731,25.85,25.00,26.69,15.00
350753,26.03,25.00,27.05,15.00
360777,26.47,26.00,26.95,15.00
370803,26.50,26.00,26.99,15.00
380828,26.47,26.00,26.95,15.00
390852,26.59,26.00,27.17,15.00
400877,26.70,26.00,27.41,15.00
410902,26.59,26.00,27.17,15.00
420931,26.75,26.00,27.50,15.00
430957,26.62,26.00,27.24,15.00
440980,26.55,26.00,27.10,15.00
451005,26.61,26.00,27.23,15.00
481080,27.16,27.00,27.32,14.00
491104,27.18,27.00,27.36,14.00
501127,27.20,27.00,27.40,14.00
511149,27.28,27.00,27.55,14.00
521177,27.38,27.00,27.75,14.00
531204,27.39,27.00,27.78,14.00
541230,27.43,27.00,27.86,14.00
561276,27.50,27.00,27.99,14.00
571297,27.34,27.00,27.67,14.00
581325,27.48,27.00,27.97,14.00
591350,27.54,27.00,28.07,14.00
601372,27.55,27.00,28.11,14.00
611395,27.51,27.00,28.01,14.00
621422,27.51,27.00,28.01,14.00
631447,27.55,27.00,28.09,14.00
641474,27.62,27.00,28.24,14.00
661526,27.85,27.00,28.69,14.00
671554,27.71,27.00,28.42,14.00
681581,27.69,27.00,28.39,14.00
691607,27.81,27.00,28.61,14.00
701628,27.69,27.00,28.38,14.00
711653,27.83,27.00,28.66,14.00
721680,27.57,27.00,28.15,14.00
731703,27.86,27.00,28.73,14.00
741730,27.69,27.00,28.39,14.00
751754,27.83,27.00,28.66,14.00
761778,27.81,27.00,28.63,14.00
781828,27.85,27.00,28.71,14.00
791854,27.92,27.00,28.84,14.00
801881,27.84,27.00,28.68,14.00
811905,27.85,27.00,28.69,14.00
831953,28.01,27.00,29.02,14.00
841975,27.92,27.00,28.84,14.00
852005,28.07,27.00,29.14,14.00
862028,28.06,27.00,29.12,14.00
872051,28.21,27.00,29.43,14.00
882074,28.22,27.00,29.45,14.00
892099,28.04,27.00,29.07,14.00
912153,28.05,27.00,29.09,14.00
922177,28.06,27.00,29.12,14.00
932201,28.24,27.00,29.47,14.00
942223,28.09,27.00,29.18,14.00
952246,28.68,28.00,29.36,14.00
962270,28.70,28.00,29.40,14.00
972291,28.62,28.00,29.25,14.00
982318,28.73,28.00,29.46,14.00
992345,28.65,28.00,29.31,14.00
1002371,28.67,28.00,29.34,14.00
1012397,28.71,28.00,29.42,14.00
1022420,28.62,28.00,29.23,14.00
1032446,28.70,28.00,29.40,14.00
1042470,28.65,28.00,29.29,14.00
1052493,28.69,28.00,29.38,14.00
1062520,28.86,28.00,29.73,14.00
1072546,28.76,28.00,29.51,14.00
1082573,28.62,28.00,29.25,14.00
1092600,28.94,28.00,29.88,14.00
1102627,28.69,28.00,29.38,14.00
1112649,28.71,28.00,29.43,14.00
1122676,28.83,28.00,29.66,14.00
1132705,28.85,28.00,29.71,14.00
1142729,28.72,28.00,29.44,14.00
1152751,28.98,28.00,29.97,14.00
1162774,28.91,28.00,29.83,14.00
1172796,29.01,28.00,30.03,14.00
1182823,28.98,28.00,29.96,14.00
1192846,28.97,28.00,29.94,14.00
1202871,28.87,28.00,29.74,14.00
1222925,28.95,28.00,29.90,14.00
1242979,28.91,28.00,29.83,14.00
1253006,28.88,28.00,29.75,14.00
1273058,29.11,28.00,30.22,14.00
1283080,28.96,28.00,29.92,14.00
1303130,28.89,28.00,29.79,14.00
1313156,29.09,28.00,30.17,14.00
1323179,29.06,28.00,30.12,14.00
1333202,29.21,28.00,30.42,14.00
1343226,29.08,28.00,30.16,14.00
1353250,29.11,28.00,30.22,14.00
1363279,29.09,28.00,30.18,14.00
1373305,29.16,28.00,30.33,14.00
1383329,29.48,29.00,29.97,13.00
1393358,29.21,28.00,30.42,14.00
1403379,29.42,29.00,29.85,13.00
1413404,29.61,29.00,30.22,13.00
1433452,29.77,29.00,30.55,13.00
1453506,29.61,29.00,30.23,13.00
1463535,29.61,29.00,30.22,13.00
1473559,29.45,29.00,29.90,13.00
1493613,29.69,29.00,30.38,13.00
1503638,29.72,29.00,30.45,13.00
1513660,29.72,29.00,30.45,13.00
1523685,29.66,29.00,30.33,13.00
1543733,29.85,29.00,30.71,13.00
1553756,29.93,29.00,30.86,13.00
1563781,29.79,29.00,30.57,13.00
1573807,29.82,29.00,30.63,13.00
1583832,30.01,29.00,31.02,13.00
1613910,29.91,29.00,30.82,13.00
1623932,29.84,29.00,30.68,13.00
1633957,29.86,29.00,30.72,13.00
1643985,30.02,29.00,31.04,13.00
1664037,30.04,29.00,31.09,13.00
1674063,29.88,29.00,30.76,13.00
